query_id,category,question,expected_answer,generated_answer,response_time(sec),retrieved_source_count,retrieved_sources
1,Symptoms,What are the symptoms of Parkinson's disease?,"Parkinson's disease commonly causes resting tremor, bradykinesia (slowness of movement), muscle rigidity, postural instability, and non-motor symptoms such as sleep disturbances, constipation, and loss of smell.","The symptoms of Parkinson's disease include:
*   Involuntary shaking of particular parts of the body (tremor)
*   Slow movement (bradykinesia)
*   Stiff and inflexible muscles (rigidity)
*   Depression
*   Cognitive impairment
*   Dementia
*   Pain (in later stages)
*   Autonomic disturbances (in later stages), such as dizziness, fainting, and problems with sweating, heart rate, digestion, vision, and sexual function
*   Anxiety
*   Balance problems (postural instability)
*   Loss of sense of smell (anosmia)
*   Problems sleeping (insomnia)
*   Memory problems",4.2,5,data\Parkinson_Disease\guidelines\NICE\parkinsons-disease-in-adults-pdf-NICE-Guideline.pdf | data\Parkinson_Disease\patient_education\Parkinson's disease - NHS_overview.pdf | data\Parkinson_Disease\guidelines\NICE\parkinsons-disease-in-adults-pdf-NICE-Guideline.pdf | data\Parkinson_Disease\foundation_resources\APDA\APDA24496A_BasicHandbook_ENG_TCD7FN_WEB.pdf | data\Parkinson_Disease\guidelines\Canadian Guideline\canadian-guideline-for-parkinson-disease-full canada guideline.pdf
2,Symptoms,What are the early symptoms of Parkinson's disease?,"Early symptoms include mild resting tremor, slowed movement, muscle stiffness, reduced arm swing, loss of smell, constipation, and REM sleep behavior disorder.","Although early symptoms can be mild and even go unnoticed for several years, doctors initially consider these three core symptoms in making a diagnosis:
1. Slow movement (bradykinesia)
2. Tremor
3. Stiffness (rigidity)",1.95,5,data\Parkinson_Disease\foundation_resources\APDA\APDA24496A_BasicHandbook_ENG_TCD7FN_WEB.pdf | data\Parkinson_Disease\patient_education\Parkinson's disease - NHS_overview.pdf | data\Parkinson_Disease\guidelines\Canadian Guideline\canadian-guideline-for-parkinson-disease-full canada guideline.pdf | data\Parkinson_Disease\guidelines\NICE\parkinsons-disease-in-adults-pdf-NICE-Guideline.pdf | data\Parkinson_Disease\foundation_resources\patient_education_fr\Fitness-Counts-Book-2025.pdf
3,Symptoms,Does Parkinson's disease cause tremors?,Yes. Resting tremor is one of the hallmark motor symptoms of Parkinson's disease and often begins on one side of the body.,"Yes, Parkinson's disease can cause tremors. People with Parkinson's disease classically present with symptoms including rest tremor (shaking). Tremor remains a well-known feature of Parkinson's disease, and in some cases, it is the first reported symptom. The typical clinical features involve a movement disorder consisting of bradykinesia, resting tremor, and rigidity.",2.62,5,data\Parkinson_Disease\guidelines\NICE\parkinsons-disease-in-adults-pdf-NICE-Guideline.pdf | data\Parkinson_Disease\review_articles\795.full.pdf | data\Parkinson_Disease\research_papers\pathogenesis\Bookshelf_NBK536721.pdf | data\Parkinson_Disease\research_papers\pathogenesis\Bookshelf_NBK536721.pdf | data\Parkinson_Disease\research_papers\pathogenesis\Bookshelf_NBK536721.pdf
4,Symptoms,What is bradykinesia in Parkinson's disease?,"Bradykinesia is the abnormal slowing of voluntary movement and is a core symptom of Parkinson's disease, making everyday activities more difficult.",I could not find sufficient information in the provided documents.,3.41,5,data\Parkinson_Disease\research_papers\pathogenesis\Bookshelf_NBK536721.pdf | data\Parkinson_Disease\research_papers\diagnosis\10-1055-s-0043-1777775.pdf | data\Parkinson_Disease\research_papers\pathogenesis\Bookshelf_NBK536721.pdf | data\Parkinson_Disease\research_papers\pathogenesis\Bookshelf_NBK536721.pdf | data\Parkinson_Disease\research_papers\pathogenesis\Bookshelf_NBK536721.pdf
5,Symptoms,Does Parkinson's disease cause muscle stiffness?,"Yes. Muscle rigidity is a common symptom that causes stiffness, reduced flexibility, discomfort, and difficulty with movement.","Yes, Parkinson's disease causes muscle rigidity, which is a form of muscle stiffness. The text states that ""PD presents important motor symptoms, namely bradykinesia, muscle rigidity, bent pos-"" and also lists ""muscle rigidity"" as one of the clinically defined signs of parkinsonism.",23.0,5,data\Parkinson_Disease\research_papers\rehabilitation\pone.0293826_progression.pdf | data\Parkinson_Disease\foundation_resources\patient_education_fr\sleep.pdf | data\Parkinson_Disease\review_articles\795.full.pdf | data\Parkinson_Disease\research_papers\non_motor_symptoms\nihms-1544448.pdf | data\Parkinson_Disease\research_papers\pathogenesis\Bookshelf_NBK536721.pdf
6,Symptoms,What are the motor symptoms of Parkinson's disease?,"The major motor symptoms include resting tremor, bradykinesia, muscle rigidity, postural instability, shuffling gait, and impaired balance.","The motor symptoms of Parkinson's disease include:
*   Tremors (a form of rhythmic shaking)
*   Stiffness or rigidity of the muscles
*   Slowness of movement (bradykinesia)
*   Postural instability (balance problems)",3.09,5,data\Parkinson_Disease\foundation_resources\APDA\APDA24496A_BasicHandbook_ENG_TCD7FN_WEB.pdf | data\Parkinson_Disease\foundation_resources\APDA\APDA24496A_BasicHandbook_ENG_TCD7FN_WEB.pdf | data\Parkinson_Disease\guidelines\NICE\parkinsons-disease-in-adults-pdf-NICE-Guideline.pdf | data\Parkinson_Disease\guidelines\Canadian Guideline\canadian-guideline-for-parkinson-disease-full canada guideline.pdf | data\Parkinson_Disease\patient_education\Parkinson's disease - Symptoms - NHS.pdf
7,Symptoms,What are the non-motor symptoms of Parkinson's disease?,"Non-motor symptoms include constipation, depression, anxiety, sleep disorders, cognitive impairment, fatigue, urinary problems, and loss of smell.","The non-motor symptoms of Parkinson's disease include:
*   Depression
*   Cognitive impairment
*   Dementia
*   Pain
*   Autonomic disturbances (such as dizziness, fainting, and problems with sweating, heart rate, digestion, vision, and sexual function)
*   Sleep problems
*   Constipation
*   Anxiety
*   Fatigue
*   Hyposmia
*   Urinary dysfunction
*   Orthostatic hypotension
*   Memory loss",3.28,5,data\Parkinson_Disease\guidelines\Canadian Guideline\canadian-guideline-for-parkinson-disease-full canada guideline.pdf | data\Parkinson_Disease\guidelines\NICE\parkinsons-disease-in-adults-pdf-NICE-Guideline.pdf | data\Parkinson_Disease\foundation_resources\APDA\APDA24496A_BasicHandbook_ENG_TCD7FN_WEB.pdf | data\Parkinson_Disease\foundation_resources\APDA\APDA24496A_BasicHandbook_ENG_TCD7FN_WEB.pdf | data\Parkinson_Disease\research_papers\diagnosis\nihms-1697463_biomarkers.pdf
8,Symptoms,Can Parkinson's disease affect speech?,"Yes. Parkinson's disease may cause soft speech, slurred speech, monotone voice, and difficulty speaking clearly.","Yes, Parkinson's disease (PD) can affect speech. Speech and swallowing challenges are common in PD, and voice and speech changes can be among the early signs. PD causes movements to become smaller and slower over time, which can affect how the face, mouth, throat, and chest move during speaking. Common examples of speech issues include soft speech, monotone voice, slurred words, and trouble finding the right words or starting sentences.",2.26,5,data\Parkinson_Disease\foundation_resources\patient_education_fr\Speech and Swallowing June 2025.pdf | data\Parkinson_Disease\guidelines\Canadian Guideline\canadian-guideline-for-parkinson-disease-full canada guideline.pdf | data\Parkinson_Disease\guidelines\NICE\parkinsons-disease-in-adults-pdf-NICE-Guideline.pdf | data\Parkinson_Disease\foundation_resources\patient_education_fr\Speech and Swallowing June 2025.pdf | data\Parkinson_Disease\foundation_resources\patient_education_fr\Speech and Swallowing June 2025.pdf
9,Symptoms,Can Parkinson's disease cause swallowing difficulties?,"Yes. Many patients develop dysphagia, which can make swallowing difficult and increase the risk of aspiration and pneumonia.","Yes, Parkinson's disease (PD) can cause swallowing difficulties. Swallowing can change with Parkinson’s and may become more difficult over time, a condition sometimes called dysphagia. Difficulty swallowing is common for people with Parkinson’s. PD causes movements to become smaller and slower over time, which can affect how the face, mouth, throat, and chest move during swallowing.",2.45,5,data\Parkinson_Disease\foundation_resources\Parkinson_Foundation\Practical-Pointers-Guide-2026.pdf | data\Parkinson_Disease\foundation_resources\patient_education_fr\Speech and Swallowing June 2025.pdf | data\Parkinson_Disease\foundation_resources\Parkinson_Foundation\hospital-safety-guide-april-2026.pdf | data\Parkinson_Disease\foundation_resources\patient_education_fr\Speech and Swallowing June 2025.pdf | data\Parkinson_Disease\foundation_resources\Parkinson_Foundation\hospital-safety-guide-april-2026.pdf
10,Symptoms,Does Parkinson's disease affect handwriting?,"Yes. Parkinson's disease commonly causes micrographia, a condition in which handwriting becomes progressively smaller and less legible.","Yes, Parkinson's disease affects handwriting. Patients with parkinsonian bradykinesia may display small and cramped handwriting which becomes progressively smaller (micrographia) with a tendency of the sentence to fall off the line. A change in handwriting is a manifestation of bradykinesia. Difficulty with writing is also mentioned as an impact of Parkinson's disease.",2.81,5,data\Parkinson_Disease\research_papers\pathogenesis\Bookshelf_NBK536721.pdf | data\Parkinson_Disease\research_papers\rehabilitation\pzab302.pdf | data\Parkinson_Disease\research_papers\pathogenesis\Bookshelf_NBK536721.pdf | data\Parkinson_Disease\research_papers\pathogenesis\Bookshelf_NBK536721.pdf | data\Parkinson_Disease\guidelines\Canadian Guideline\canadian-guideline-for-parkinson-disease-full canada guideline.pdf
